Ссылка;Текст;Тип;Автор;"Ссылка на автора";Дата;Лайков;Комментариев;Репостов;Переходов;"Просмотров вики страницы";Просмотров;"Лайков / Просмотров";"Комментариев / Просмотров";"Репостов / Просмотров";"Переходов / Просмотров";"Просмотров вики страницы / Просмотров поста"
https://vk.com/wall-227735992_3789;"Рабочие будни мотострелков: два колеса, бронежилет и верный дрон над головой. 🇷🇺 
 
Хотите подписать контракт? Лучшие условия в личных сообщениях☝";Пост;"СЛУЖБА ПО КОНТРАКТУ | НОВОСТИ";https://vk.com/club227735992;"16:20 24.07.2025";0;0;0;0;0;190;0%;0%;0%;0%;0%
https://vk.com/wall-148824521_116489;"Тройка удачи на позициях! Слева — мастер по шуткам, справа — по миномётам.";Пост;"Интересное о Войне|факты,истории,герои.";https://vk.com/club148824521;"08:05 24.07.2025";8;0;0;0;0;322;2,484%;0%;0%;0%;0%
https://vk.com/wall-34894142_518685;"Тройка удачи на позициях! Слева — мастер по шуткам, справа — по миномётам.";Пост;"ВДВ - НИКТО, КРОМЕ НАС!";https://vk.com/club34894142;"05:00 24.07.2025";32;4;0;0;0;1186;2,698%;0,337%;0%;0%;0%
https://vk.com/wall-127210915_45834;"Работаем слаженно, молча, по делу. Всем, кто за нас — низкий поклон. Мы не подведём 🇷🇺
--Новости России— #Россия #новости";Пост;"РОССИЯ и НОВОРОССИЯ - Операция Z";https://vk.com/club127210915;"11:30 24.07.2025";0;0;0;0;0;34;0%;0%;0%;0%;0%
https://vk.com/wall449424289_27330;"Работаем слаженно, молча, по делу. Всем, кто за нас — низкий поклон. Мы не подведём";Пост;"Татьяна Воробьева";https://vk.com/id449424289;"11:08 24.07.2025";2;0;0;0;0;20;10%;0%;0%;0%;0%
https://vk.com/wall-226226539_300269;"Работаем с душой, стоим с братьями. Привет всем, кто на связи. Двигаемся вперёд! ✊";Пост;"Надежда России, Защитники!";https://vk.com/club226226539;"17:00 24.07.2025";163;6;1;0;0;1209;13,482%;0,496%;0,083%;0%;0%
https://vk.com/wall-221142732_9276;"Работаем с душой, стоим с братьями. Привет всем, кто на связи. Двигаемся вперёд! ✊🇷🇺";Пост;"Приграничье Брянск";https://vk.com/club221142732;"06:00 24.07.2025";71;2;0;0;0;2374;2,991%;0,084%;0%;0%;0%
https://vk.com/wall-226226539_300249;"💫 Позывной «ВАМПИР». 

Боец Александрийской бригады «Чёрные гусары».";Пост;"Надежда России, Защитники!";https://vk.com/club226226539;"15:00 24.07.2025";142;4;1;0;0;1373;10,342%;0,291%;0,073%;0%;0%
https://vk.com/wall-221068073_52294;"Наша пушистая поддержка всегда рядом.";Пост;"Россия-это мы!";https://vk.com/club221068073;"23:55 24.07.2025";55;0;0;0;0;447;12,304%;0%;0%;0%;0%
https://vk.com/wall-185468447_5395;"Наша пушистая поддержка всегда рядом.";Пост;"•156• РЕГИОН•";https://vk.com/club185468447;"14:56 24.07.2025";2;0;0;0;0;133;1,504%;0%;0%;0%;0%
https://vk.com/wall-127210915_45840;"Броник не давит, потому что уже привык, а очки — на случай яркой Победы. Короче, в пути. Не переключайтесь! 😉
--Новости России— #Россия #новости";Пост;"РОССИЯ и НОВОРОССИЯ - Операция Z";https://vk.com/club127210915;"15:30 24.07.2025";3;0;0;0;0;63;4,762%;0%;0%;0%;0%
