Ссылка;Текст;Тип;Автор;"Ссылка на автора";Дата;Лайков;Комментариев;Репостов;Переходов;"Просмотров вики страницы";Просмотров;"Лайков / Просмотров";"Комментариев / Просмотров";"Репостов / Просмотров";"Переходов / Просмотров";"Просмотров вики страницы / Просмотров поста"
https://vk.com/wall-25943575_1158294;"Лис передает всем доброе утро";Пост;"Картинки СО Смыслом Полюс Притяжения";https://vk.com/club25943575;"11:07 24.07.2025";169;7;0;0;0;2092;8,078%;0,335%;0%;0%;0%
https://vk.com/wall-125866183_516874;"Лис передает всем доброе утро";Пост;"Донецк-город сильных людей.";https://vk.com/club125866183;"10:20 24.07.2025";26;1;0;0;0;349;7,45%;0,287%;0%;0%;0%
https://vk.com/wall-224831014_34969;"Лис передает всем доброе утро";Пост;#СВО;https://vk.com/club224831014;"08:33 24.07.2025";11;0;1;0;0;230;4,783%;0%;0,435%;0%;0%
https://vk.com/wall-227552131_32900;"Лис передает всем доброе утро";Пост;"Бесстрашные и безупречные 🫂🫶";https://vk.com/club227552131;"08:26 24.07.2025";20;2;0;0;0;275;7,273%;0,727%;0%;0%;0%
https://vk.com/wall-148824521_116485;"Лис передает всем доброе утро";Пост;"Интересное о Войне|факты,истории,герои.";https://vk.com/club148824521;"08:05 24.07.2025";15;0;0;0;0;326;4,601%;0%;0%;0%;0%
https://vk.com/wall-210977948_171710;"Лис передает всем доброе утро";Пост;"МЫ - БРАТИШКИ ИЗ СПЕЦНАЗА";https://vk.com/club210977948;"08:00 24.07.2025";5;0;0;0;0;92;5,435%;0%;0%;0%;0%
https://vk.com/wall-221267807_163904;"Лис передает всем доброе утро";Пост;"ЧВК ВАГНЕР";https://vk.com/club221267807;"06:56 24.07.2025";63;3;0;0;0;741;8,502%;0,405%;0%;0%;0%
https://vk.com/wall299788145_3101;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.

🇷🇺 СВО";Пост;"Максим Мушкет";https://vk.com/id299788145;"19:19 24.07.2025";2;0;1;0;0;55;3,636%;0%;1,818%;0%;0%
https://vk.com/wall-224692604_112708;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"СВО в фото";https://vk.com/club224692604;"18:39 24.07.2025";119;10;0;0;0;1501;7,928%;0,666%;0%;0%;0%
https://vk.com/wall-194331569_240933;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"Zа Единую Русь | РУССКИЙ МЕНТАЛИТЕТ.";https://vk.com/club194331569;"18:13 24.07.2025";35;0;0;0;0;684;5,117%;0%;0%;0%;0%
https://vk.com/wall-226389423_10085;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"Военная хроника |Россия и Иран |В зоне СВО";https://vk.com/club226389423;"15:39 24.07.2025";197;0;0;0;0;7226;2,726%;0%;0%;0%;0%
https://vk.com/wall-221267807_163923;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"ЧВК ВАГНЕР";https://vk.com/club221267807;"13:41 24.07.2025";37;0;0;0;0;691;5,355%;0%;0%;0%;0%
https://vk.com/wall-63960562_343049;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"ЧВК ВАГНЕР  | АРМИЯ | РОССИЯ";https://vk.com/club63960562;"13:12 24.07.2025";1;0;0;0;0;104;0,962%;0%;0%;0%;0%
https://vk.com/wall-200203334_62754;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"ЧВК ВАГНЕР | СВО | РОССИЯ";https://vk.com/club200203334;"13:02 24.07.2025";121;6;2;0;0;1026;11,793%;0,585%;0,195%;0%;0%
https://vk.com/wall-98660148_823772;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.✊";Пост;"СУРОВЫЕ КОТЫ ДОНБАССА";https://vk.com/club98660148;"12:17 24.07.2025";16;1;0;0;0;366;4,372%;0,273%;0%;0%;0%
https://vk.com/wall-229357719_14448;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.🇷🇺";Пост;"МИРНОЕ НЕБО !";https://vk.com/club229357719;"11:37 24.07.2025";20;0;0;0;0;216;9,259%;0%;0%;0%;0%
https://vk.com/wall-125866183_516879;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"Донецк-город сильных людей.";https://vk.com/club125866183;"10:30 24.07.2025";9;0;0;0;0;242;3,719%;0%;0%;0%;0%
https://vk.com/wall-210812857_607130;"🇷🇺🇷🇺🇷🇺🙏
Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"Новости ДНР | ЛНР | Военная операция на Украине";https://vk.com/club210812857;"09:53 24.07.2025";112;2;0;0;0;3181;3,521%;0,063%;0%;0%;0%
https://vk.com/wall-210977948_171717;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"МЫ - БРАТИШКИ ИЗ СПЕЦНАЗА";https://vk.com/club210977948;"09:30 24.07.2025";12;0;0;0;0;136;8,824%;0%;0%;0%;0%
https://vk.com/wall-224831014_34967;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;#СВО;https://vk.com/club224831014;"08:33 24.07.2025";11;0;2;0;0;278;3,957%;0%;0,719%;0%;0%
https://vk.com/wall-227552131_32898;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"Бесстрашные и безупречные 🫂🫶";https://vk.com/club227552131;"08:26 24.07.2025";28;2;0;0;0;286;9,79%;0,699%;0%;0%;0%
https://vk.com/wall-148824521_116483;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;"Интересное о Войне|факты,истории,герои.";https://vk.com/club148824521;"08:05 24.07.2025";13;0;0;0;0;296;4,392%;0%;0%;0%;0%
https://vk.com/wall-68164411_114468;"Даже в боевых условиях человек остаётся человеком. Добро всегда найдёт себе место — даже на передовой.

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;"Мир Zа Путина";https://vk.com/club68164411;"08:00 24.07.2025";11;0;0;0;0;125;8,8%;0%;0%;0%;0%
https://vk.com/wall-216979342_1781;"🇷🇺🇷🇺🇷🇺🙏🏻🙏🏻🙏🏻
Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего. 🇷🇺🇷🇺🇷🇺🙏🏻🙏🏻🙏🏻

Свои не бросят 🤝🇷🇺Подписаться ✅";Пост;"ZOV: Свои не бросят";https://vk.com/club216979342;"21:38 24.07.2025";4;0;0;0;0;39;10,256%;0%;0%;0%;0%
https://vk.com/wall-227802988_26219;"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.";Пост;"Белое небо";https://vk.com/club227802988;"21:23 24.07.2025";18;0;0;0;0;182;9,89%;0%;0%;0%;0%
https://vk.com/wall-69915_750443;"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.";Пост;"ВДВ - Никто, Кроме Нас!";https://vk.com/club69915;"21:00 24.07.2025";27;1;0;0;0;1099;2,457%;0,091%;0%;0%;0%
