link,text,type,author,author_link,date,likes,comments,reposts,views,keywords_matched
https://vk.com/wall-216074633_3068,"Эпоха пунических войн 
Подстрекаемые Клавдием мамертинцы захватили в плен командующего местным карфагенским гарнизоном по имени Ганнон, которому была обещана свобода — но при условии, что он эвакуирует солдат из городской цитадели. Ганнон уступил этим требованиям, за что впоследствии по решению Совета старейшин был распят. Так началась Первая пуническая война, которая поставила новые, ещё более сложные задачи — как перед правителями Карфагена, так и перед его полководцами. Дальнейшее развитие событий показало, что с возникшими проблемами не справились ни те, ни другие. 
 
Боевые действия развернулись и большей частью проходили на территории Сицилии. Пассивные действия карфагенян, которые не приняли никаких решительных мер для того, чтобы как можно быстрее ликвидировать пока ещё небольшой вражеский плацдарм, привели к тому, что в 263 году до н.э. к Риму переметнулся Гиерон II, который поначалу был на стороне пунийцев. Это позволило римлянам получить в его лице отличного союзника, предоставившего свой флот и наладившего снабжение легионеров продовольствием. В 262 году до н.э. произошло первое крупное сухопутное сражение: карфагенский полководец Ганнон, прибывший на Сицилию с 30 000 войска, попытался снять осаду с города Акрагант, но попал в устроенную ему римлянами засаду, потерпел сокрушительное поражение и был отозван в Африку. Там он предстал перед Судом ста четырёх, но смертной казни избежал. 
 
На смену Ганнону из Карфагена прибыл полководец по имени Гамилькар, которому удалось добиться ряда локальных успехов. Но принципиально это ничего не изменило: несмотря на то, что римские консулы ежегодно менялись, а пунийские полководцы оставались на своих местах, римлянам удалось захватить немало городов и крепостей. Карфагеняне продолжали уступать противнику как на суше, так совершенно неожиданно для себя и на море. В 260 году до н.э. в первом крупном морском сражении при Милах римляне нанесли пунийцам сокрушительное поражение благодаря новому изобретению — «ворону», при помощи которого легионеры перебегали на борт вражеского корабля и быстро расправлялись с его командой. 
 
Командовавший карфагенским флотом Ганнибал, понимая, что ему грозит смертная казнь за эту неудачу, пошёл на хитрость. Он послал в Карфаген одного из своих друзей, который на заседании Совета старейшин заявил, что Ганнибал приказал ему спросить: имеет ли смысл ему при наличии флота из 200 кораблей вступить в бой с римским флотом в 120 кораблей? Старейшины единогласно потребовали начать сражение. Посланник ответил: «Очень хорошо, именно поэтому Ганнибал бился, и мы были разбиты. Но поскольку вы дали приказ, он избавлен от порицания». 
 
В итоге полководец был снят со своего поста, но жизнь ему всё же сохранили. Однако от судьбы не уйти: в 258 году до н.э. Ганнибала снова поставили во главе флота, который действовал на Сардинии. Он и на этот раз потерпел неудачу: ловким манёвром римляне заперли его корабли в одной из гаваней и почти все потопили. В итоге Ганнибал всё-таки был распят, причём собственными солдатами. 
 
Одержав ряд побед на Сицилии, римляне в 256 году до н.э. решили повторить опыт Агафокла и добиться успеха в Африке, отправив туда флот и армию, суммарно насчитывавшие 140 000 человек. Карфагенские адмиралы попытались помешать этому, но в битве у мыса Экном их флот в очередной раз был разбит. Римские консулы Луций Манлий Вульсон и Марк Аттилий Регул успешно высадились у Аспиды и энергично начали расширять захваченный плацдарм. За короткое время в их руки попало 20 000 пленных и большие трофеи. Уверенность в своём дальнейшем успехе у римлян была столь высока, что в конце года Вульсон с частью войска, пленными и наиболее ценной добычей отплыл в Италию, а Регул с оставшейся у него армией остался на зимовку в Африке. 
 
Карфагеняне поспешно избрали двух новых полководцев: Бостара и Гасдрубала, сына Ганнона. Затем они вызвали с Сицилии третьего, всё того же Гамилькара, который на тот момент был наиболее опытным пунийским военачальником. Но в битве при Адисе в 256 году до н.э. значительно уступавший противнику в численности войска Аттилий Регул разгромил вражескую армию. Главной причиной этого поражения была тактическая бездарность Гамилькара. Карфагеняне запросили мира, однако Регул поставил им столь жёсткий ультиматум, что было решено продолжать войну. 
 
Срочно были набраны новые отряды наёмников, среди которых оказались и греки. Один из их командиров, спартанец по имени Ксантипп, узнав подробности битвы при Адисе, сказал, что «карфагеняне понесли поражение не от римлян, но от себя самих благодаря неопытности своих вождей». Совет старейшин пригласил его на беседу, в ходе которой Ксантипп показал себя настоящим профессионалом и объяснил, в чём была ошибка пунийских полководцев: обладавшие такими козырями, как слоны и превосходная конница, они не использовали для сражений открытую местность. 
 
В итоге Совет старейшин принял беспрецедентное решение: во главе войска впервые за много веков был поставлен не представитель местной аристократии, а спартанский наёмник! Ксантипп в течение нескольких месяцев обучал и тренировал карфагенскую армию согласно своим тактическим принципам, и это принесло успех: весной 255 года до н.э. он наголову разбил армию Регула в битве при Тунете. 
 
Это была единственная крупная сухопутная победа карфагенян за всю войну. После неё с Ксантиппом расплатились и поспешно отправили его на родину, а на Сицилии снова возобновились боевые действия. Карфагеняне попытались внести в них перелом и отправили на остров Гасдрубала, дав ему 140 слонов и 30 000 войска. В 251 году до н.э. он попытался отбить обратно Панорм, но при этом опрометчиво подвёл слонов вплотную к окружавшему стены рву, где они попали под обстрел с городских укреплений и в испуге бросились врассыпную, топча своё войско. Римские войска тут же вышли через ворота и атаковали карфагенян. 
 
В итоге Гасдрубал потерпел поражение и потерял 20 000 пехотинцев и почти всех слонов, которые попали в руки римлян и впоследствии были использованы во время гладиаторских боев. С остатками войска незадачливый полководец бежал в Лилибей. Судом ста четырёх в Карфагене он был заочно приговорён к смертной казни. Позже приговор привели в исполнение, однако распинать Гасдрубала не стали, а просто посадили на кол. 
 
Заменивший Гасдрубала на Сицилии Гамилькар Барка уже не стремился к крупным сражениям: он свёл боевые действия к множеству небольших схваток, используя набеги и диверсии, и в мелких стычках непрерывно изматывал неприятеля. Такая тактика в течение нескольких лет сделала ситуацию на Сицилии патовой: римляне так и не смогли очистить остров от противника, не стремились к этому и карфагеняне. В итоге всё решилось на море: в 241 году до н.э. римляне разгромили пунийцев в битве при Эгатских островах, что принесло им победу в этой войне. Командовавший потерпевшим поражение карфагенским флотом военачальник по имени Ганнон был традиционно распят. 
 
Баркиды 
Роль Гамилькара Барки в истории Карфагена трудно переоценить. Он своим упорным сопротивлением на Сицилии, а затем и личным участием в мирных переговорах позволил Карфагену достойно завершить Первую пуническую войну. Затем он фактически единолично спас город во время восстания наёмников. Примечательно, что во время этих событий доказал свою полную бездарность ещё один пунийский военачальник — Ганнон Великий. Наконец, именно Гамилькар Барка возглавил испанский проект, который позволил Карфагену возродить свою мощь. 
 
На территории Пиренейского полуострова Гамилькар в течение девяти лет расширял пределы пунийского владычества в Испании, но закончить свою миссию ему было не суждено: он погиб в одной из стычек с местными иберийскими племенами. Место Гамилькара занял его зять Гасдрубал Красивый, но через восемь лет и он был убит. Так как пунийская армия находилась вдалеке от Карфагена и дважды по причине гибели военачальника оказывалась обезглавленной, главнокомандующего в обоих случаях избирало войсковое собрание. Однако впоследствии оба этих решения всё равно утверждались в Карфагене на народной ассамблее. Своих сыновей Гамилькар воспитывал как профессиональных военных. Неудивительно, что именно Баркиды повели в бой карфагенские армии во Второй пунической войне. 
 
Вторая пуническая 
Ганнибал, возглавивший поход в Италию, прекрасно понимал, в чём основное преимущество римлян: они имели такую совершенную боевую структуру, как легионы. Их наличие позволяло римским полководцам особо не ломать голову, как одолеть противника в открытом бою. Но полководческий гений позволил Ганнибалу в первые годы войны одержать ряд ошеломляющих побед, добиться которых позволили различные военные хитрости и прекрасная разведка. Однако это не могло продолжаться вечно, и римляне вскоре нашли противоядие против тактики пунийца. Избегая крупных сражений и преследуя его армию по пятам, римские полководцы в постоянных стычках изматывали войско Ганнибала, который с большим трудом находил замену погибшим воинам. 
 
В то время, пока Ганнибал в Италии одерживал блестящие победы над противником, значительно превосходившим его по численности, в Испании наблюдалась совершенно иная картина. Находившиеся там карфагенские армии, возглавляемые братьями Ганнибала Гасдрубалом и Магоном, а также другими пунийскими полководцами, потерпели ряд поражений от братьев Гнея и Публия Сципионов, которым за шесть лет удалось захватить значительную часть Испании. 
 
Когда в 212 году до н.э. обе римских армии всё-таки были разбиты совместными усилиями карфагенских полководцев, а оба Сципиона погибли, на смену отцу и дяде в Испанию пришёл Корнелий Публий Сципион-младший. Он, по словам Полибия, уже знал, что «начальники карфагенян ссорятся между собою и обижают подчинённые им народы», а также о том, что «войска карфагенян разделены на три части, что одна из них с Магоном во главе находится по сию сторону Геракловых Столбов среди так называемых кониев, другая под начальством сына Гескона Гасдрубала — у устья реки Тага в Луситании, что другой Гасдрубал (Барка — прим. авт.) занят осадою какого-то города в области карпетанов, и что ни один из начальников не находится ближе к Новому городу, как на десять дней пути». 
 
Воспользовавшись разобщённостью противника, Сципион сначала захватил Новый Карфаген, бывший основной материальной базой пунийцев в Испании. Затем он поочерёдно разбил армии Гасдрубала Барки и Магона Барки, а также ещё одного карфагенского полководца Гасдрубала Гискона. Впрочем, ещё раньше тот потерпел поражение от Гнея Сципиона, а затем и от недавнего военного трибуна Луция Септима, возглавившего в 212 году до н.э. остатки разгромленного римского войска. В итоге в 206 году до н.э. Сципион практически полностью очистил от карфагенян всю Испанию. К этому времени Ганнибал был прочно заперт на юге Италии и опасности для Рима уже не представлял. Неудачей закончились и попытки карфагенян овладеть Сицилией и Сардинией. 
 
Одной из особенностей Второй пунической было то, что отличие от предыдущей войны боевые действия между противниками разворачивалась одновременно на нескольких фронтах: в Италии и Испании, на Сицилии и Сардинии, а затем переместились в Африку. В ходе этих событий Рим оказался способен выставить на смену погибшим или не справившимся со своими обязанностями целую плеяду новых талантливых военачальников, которые использовали различную тактику, но исход во всех случаях был одинаков: римляне везде брали верх. Карфаген не сумел ничего этому противопоставить. Его военачальники традиционно оставались у руля даже после самых сокрушительных поражений. 
 
Самым ярким примером служит личность всё того же Гасдрубала Гискона. Именно он может служить примером наиболее типичного карфагенского полководца периода Второй пунической войны, во время которой только один Ганнибал смог многократно одержать победу над римлянами. Все остальные его коллеги регулярно терпели поражения, и лишь в 212 году до н.э. они смогли совместными усилиями взять в Испании верх над братьями Гнеем и Публием Сципионами. Но для общей победы этого оказалось явно недостаточно. 
 
Система государственного устройства Римской республики способствовала тому, что в её армии не было недостатка в профессиональных военачальниках. Всеобщая воинская обязанность давала каждому римскому гражданину азы военных знаний, а постоянные войны прибавляли к ним необходимый опыт участия в походах и сражениях. На этой почве у Рима не было проблем с наличием профессиональных офицеров, из которых и получались успешные полководцы. Иное дело Карфаген, граждане которого были избавлены от воинской повинности. Не стремилась пунийская держава и к ведению постоянных захватнических войн, а вела их только по мере необходимости. В этих условиях появление выдающегося полководца было делом случая, а не системы. 
 
Фигура Ганнибала Барки является уникальной для Карфагена. После поражения в Первой пунической войне в государственной системе Карфагена ничего не изменилось. Решение Гамилькара Барки вырастить из своих сыновей профессиональных военных было исключительно его личной инициативой. Ганнибалу в этом плане очень повезло: он получил блестящее военное образование, подкреплённое богатым практическим опытом. Вне всякого сомнения, имелся у него и природный талант, но если бы он получил то же воспитание, какое до этого было у многих поколений детей карфагенских аристократов, суждено ли было ему стать великим полководцем такого масштаба? Вопрос риторический. 
 
Примечательно, что младшие братья Ганнибала оказались далеко не такими выдающимися военачальниками. Кто знает, может они были бы более удачливыми на поле брани, не появись у них на пути будущий Сципион Африканский. Впрочем, в борьбе против его отца и дяди успех к Баркидам тоже пришёл далеко не сразу, а только спустя шесть лет и во многом благодаря успешным действиям Гасдрубала Барки на ниве подкупа иберийских вождей. Когда в Испании появился Сципион-младший, он не оставил братьям Ганнибала никаких шансов. 
 
Почти не приходится удивляться тому, что когда римская экспедиционная армия высадилась в Африке, главнокомандующим войсками в Африке Совет старейшин поставил всё того же Гасдрубала Гискона, хотя, по словам Ливия, «все помнили, что он в нескольких сражениях был разбит и выгнан из Испании этим самым Сципионом: карфагенского вождя нельзя было и сравнить с римским, так же, как его наспех набранное войско с войском римлян». 
 
Увы, из небольшого количества имевшихся у него военачальников никаких новых фигур Карфаген выставить не сумел. Нового Ксантиппа или Гамилькара Барки в этот раз не нашлось. В итоге высадившийся в Африке Сципион в 203 году до н.э. ещё дважды уничтожил армии Гасдрубала Гискона: сначала после поджога неприятельского лагеря близ Утики, а затем в ходе сражения на Великих равнинах. После того, как в 202 году до н.э. в битве при Заме Сципион нанёс сокрушительное поражение и старшему из Баркидов, доселе непобедимому Ганнибалу, Вторая пуническая завершилась победой Рима. 
 
Помимо общего превосходства римских полководцев, армии и флота над своими карфагенскими оппонентами, в качестве одной из главных причин победы необходимо упомянуть и решимость римских граждан вести войну до победного конца. Совокупность всех этих факторов и привела к тому, что Рим одержал убедительную победу.

Третья пуническая 
Последним карфагенским полководцем было суждено стать Гасдрубалу Боэтарху, о котором которого Полибий пишет, что он был «тщеславный хвастун, вовсе не обладавший дарованиями ни государственного человека, ни главнокомандующего». Гасдрубал Боэтарх известен тем, что ещё до начала Третьей пунической войны возглавил набранное из гражданского ополчения войско в 58 000 человек во время войны против нумидийцев, которые постоянно нападали на Карфаген и захватывали принадлежавшие ему территории. В 151 году до н.э. престарелый нумидийский царь Масинисса заманил пунийскую армию в ловушку на равнине, окружённой со всех сторон холмами, и практически полностью уничтожил войско противника. Гасдрубал Боэтарх был одним из немногих спасшихся.",Пост,,,23:56 24.07.2025,1,0,0,20,
https://vk.com/wall-216231092_21706,"#Новости 

▪️Все, кто находились на борту Ан-24, разбившегося под Тындой, погибли, сообщили в СК

▪️В авиакомпании «Ангара» сообщили, что окажут поддержку семьям погибших пассажиров и членов экипажа самолета Ан-24. Власти Хабаровского края пообещали выплатить по 1 млн руб. жителям, чьи родственники находились на борту. В регионе объявили трехдневный траур. 
К месту крушения самолета направляются министр транспорта РФ Андрей Никитин и руководитель Росавиации Дмитрий Ядров, сообщили в Минтрансе. По данным ведомства, обломки воздушного судна обнаружили в тайге на расстоянии 32 км от конечной точки маршрута. В министерстве подтвердили, что на борту находились 48 человек: шесть членов экипажа и 42 пассажира, в том числе пять детей

▪️В Ростовской области могут начать массово резать скот из-за дефицита кормов. По словам врио главы региона Юрия Слюсаря, уже второй год подряд в регионе заготавливается меньше половины от необходимого количества кормов.
«В этом году мы действительно стоим перед риском, что животноводы, оставшись без кормов и без денег, просто начнут резать скот, и мы сократим поголовье», — заявил Юрий Слюсарь.
Власти региона такая ситуация конечно же не устраивает, и они готовы поддержать аграриев. Но это обойдется в крупную сумму

▪️Два человека стали жертвами пожара в ТЦ Новошахтинска (Ростовская область)
Погиб пожарный, на месте пожара найдено тело еще одного погибшей. Также продолжаются поиски еще одной сотрудницы ТЦ

▪️Цена бензина Аи-95 на бирже выше 76,3 тыс. рублей за тонну и приблизилась к историческому максимуму сентября 2023 года

▪️Экс-губернатор Тамбовской области подозревается в получении взятки от бывшего руководителя ""Газпром межрегионгаз Тамбов"" за содействие в его устройстве на госслужбу и общее покровительство.
Егоров получил от Стефанова не только деньги, но и различные услуги и имущество, сообщили правоохранители. Например, Стефанов приобрел для Егорова машину RAM 1500 за 11 млн рублей, частный дом и внес взнос за квартиру, приобретаемую в ипотеку

▪️В Китае зафиксирована крупнейшая в истории вспышка опасного вируса чикунгунья, который передаётся через укусы комаров, вызывает сильную боль и лихорадку. ВОЗ предупреждает о глобальной угрозе
Как пишет Bloomberg, в городе Фошань на юге Китая за июль зафиксировано более 3 100 случаев заражения вирусом чикунгунья - это крупнейшая вспышка заболевания с момента его появления в материковом Китае почти 20 лет назад.
Вирус передаётся через укусы комаров Aedes и вызывает резкий подъем температуры, изнуряющую боль в суставах, головные боли, мышечную боль и общую слабость. За последнюю неделю количество случаев выросло почти в десять раз.
ВОЗ уже выпустила экстренное предупреждение о возможном распространении вируса в другие страны. Чикунгунья также выявлен во Франции и Италии. По данным ВОЗ, более 5 миллиардов человек по всему миру живут в зонах риска. Среди причин всплеска - изменение климата, рост влажности, международные поездки и низкий уровень иммунитета населения

▪️Бывший главком ВСУ и нынешний посол в Британии Валерий Залужный заявил, что Украина вступила в новую фазу войны — на истощение, которая может продолжаться ещё годы. По его словам, если страна не пересмотрит подходы к защите и мобилизации ресурсов, боевые действия могут длиться до 2034 года. Он отметил, что «старая» война завершилась в конце 2023-го, а сейчас Россия использует тактику позиционного изматывания

▪️Власти города Тельмана под Петербургом заказывает план гражданской обороны и защиты населения. Судя по документации, он должен включать в себя краткую оценку возможной обстановки на территории поселения после нападения противника. Уточнено, что речь о применении современных средств поражения. Также в документе должно быть сказано, какие действия должны быть применены в случае такого развития ситуации

▪️ Лучника, который заколол стрелами двух женщин на проходной завода в Петербурге, арестовали до 22 сентября
Его обвиняют в покушении на убийство двух лиц.
Инцидент произошел накануне на пропускном пункте одного из заводов на севере Петербурга. Там мужчина с луком на спине проткнул одну из работниц стрелами, после чего напал на вторую женщину. 
Муж одной из пострадавших сообщил, что обе женщины введены в искусственную кому, за их жизнь борются врачи.
Лучник-маляр рассказал полицейским, что копил злость на вахтерш ещё с пандемии. Ему тогда якобы предъявляли претензии за неправильный фасон маски. Ещё кто-то периодически прокалывал ему колеса
Последней каплей вчера утром стало известие о блокировке пропуска, заставшее мужчину, когда он уже, плюнув на все, ехал на велосипеде в направлении «с работы». Тогда он вернулся со стрелами и выместил злость на сотрудницах проходной. Мужчине вменяют покушение на убийство

▪️Правоохранители добрались до места крушения и начали работу.
От злополучного самолета почти ничего не осталось, обломки разбросало на несколько сотен метров.
«Уважаемая авиакомпания! Огромная просьба, сделайте что-то с самолетом Ан-24. Уберите его».
Страшные отзывы пассажиров авиакомпании «Ангара», летавших на Ан-24. Судя по ним, на самолетах (они выпущены в середине 70-х) летать было как минимум неприятно.
Некоторые клиенты «Ангары» даже советовали выбирать путешествие поездом — «на два, три дня дольше, но зато спокойнее». На это сообщение представители авиакомпании сообщили, что срок эксплуатации продлили до 60 лет — до 2030 года. 
Сегодня Ан-24 с бортовым номером RA-47315 потерпел крушение в 15 км от Тынды. Погибли 43 пассажира и 6 членов экипажа. Среди предварительных причин авиакатастрофы — техническая неисправность и ошибка экипажа, усугублённая сложными погодными условиями

▪️ Горьковский автозавод в августе 2025 года будет работать в режиме четырехдневной рабочей недели в связи с падением рынка коммерческого транспорта",Пост,,,23:47 24.07.2025,1,0,0,67,
https://vk.com/wall-224692604_112692,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,23:39 24.07.2025,236,6,2,3677,
https://vk.com/wall753560556_6594,"Памяти павших, во имя живых!!! 
Памяти павших, во имя живых!!! 
вчера 23:26 
Миф или реальность Чеченской войны? Легендарный снайпер Володя-Якут 
 
Каждая война порождает свои легенды и своих героев. Окопные байки далеко не всегда отражают действительность, но как же порой хочется верить в лучшее, когда вокруг — только кровь и пот солдатской рутины, жестокая боевая работа. Вот и придумываются различные истории, передаваемые из уст в уста, обрастая всё новыми и новыми подробностями, о тех, кто не жалея живота своего бьет врага точным выстрелом, как белку, или ходит в атаку заговоренным, возвращаясь из боя без единой царапины. Часто за ними стоят реальные герои, часто — это собирательный образ солдатского фольклора. Но всегда — искренний, хоть и приукрашенный фантазией очередного рассказчика. Легенда. 
 
Именно такой легендой первой Чеченской войны стал снайпер Володя-Якут. Слышали о нем, наверное, все. А вот видели (если, и правда, видели - единицы). Есть у него и имя, и отчество, и фамилия. Что только добавляет достоверности образу. И образ этот неразрывно связан с реальным, но не менее легендарным боевым генералом Львом Рохлиным. Вот только был ли он на самом деле? 
 
Мне о нем впервые рассказали в 1999 году парни, воевавшие в Чечне в 1995-м. А недавно хорошо знакомый полковник Росгвардии, которого безмерно уважаю, за рюмкой чая вспоминая боевое прошлое, вновь припомнил легендарного снайпера: сам я его не видел, но точно знал тех, кто жал ему руку. 
 
Имя Володи-Якута стало столь популярно, что точно так же создатели популярного в начале 2000-х сериала назвали снайпера спецназа, сыгранного замечательным актером, к сожалению, ушедшим уже от нас, Владиславом Галкиным. Стопроцентное попадание в образ и историю. 
 
Так что мне захотелось сегодня вспомнить легендарного снайпера Чеченской войны Владимира Максимовича Колотова, родом из села Иенгра в Якутии. Правда, по национальности он - эвенк, но для всех и навсегда останется Володей-Якутом. 
 
Согласно рассказам, Якут никогда не был штатным снайпером какого-либо воинского подразделения федеральных сил в привычном понимании этого слова. И в этом факте кроется первое сомнение в реальности происходящего. 
 
Его никогда не призывали в Армию. Он сам пришел. Просто неожиданно появился в Грозном среди февральской распутицы 1995 года, имея при себе дедовское ружьишко (по некоторым данным это был карабин системы Мосина образца 1891 года), трофейный немецкий прицел времен Великой Отечественный, горсть патронов, паспорт и рукописную справку из военкомата. И жгучее желание поквитаться с врагами. 
 
Такой вот контрактник-доброволец первой чеченской кампании. 
 
Будучи потомственным охотником, Володя с юных лет научился обращаться с оружием. Умел бить зверя в глаз, чтобы не испортить мех - для промысловика это крайне важно, умел выслеживать добычу, различать следы, мог подолгу сидеть в засаде, чтобы ни одна веточка не хрустнула, чтобы ни один лист не шелохнулся. А когда подрос, стал сам на промысел выбираться, в одиночку даже сподручнее было: ни на кого не надеешься, ни от кого не зависишь, никто не отвлекает. 
 
Однажды вернулся в родную деревню, чтобы охотничьи трофеи сдать да пополнить запас соли, спичек и патронов, и по телевизору увидел войну: разрушенные дома, искореженные сгоревшие танки, убитых российских военных. Услышал слова диктора, что боевики безжалостно расстреливают солдат-срочников, как мишени в тире, и такая злость его взяла, что решил за своих отомстить. (По другой версии в родную деревню пришла похоронка, и 18-ти летний охотник Володя Колотов не мог остаться дома). 
 
Из дома он взял всё самое необходимое и справку получил в местном военкомате, что отправляется на войну (что за справка такая, да ещё написанная военкомом от руки?). Человек далекий и от политики, и от новостей, знал Колотов только одну фамилию — Рохлин. Потому и направился прямиком в штаб боевого генерала. 
 
Дорога заняла что-то около месяца. За это время молодому охотнику пришлось многое испытать. Его задерживали, отбирали оружие, сажали в камеру, но затем отпускали — документы-то в порядке. И в конце-концов оказался в Грозном. Повезло: смог пробиться прямо к командиру 8-го гвардейского армейского корпуса генерал-лейтенанту Льву Яковлевичу Рохлину. 
 
Генерал добровольца принял, выслушал и... поверил ему. Поверил в искренность его устремлений, в глазах увидел несгибаемую волю и безжалостность к врагу. Потому дал распоряжение накормить, напоить и обеспечить всем необходимым. 
 
Снайпер в поле всегда работает в паре. Но от предложенной помощи Владимир Колотов отказался, как не взял и выделенную ему снайперскую винтовку Драгунова, сказав, что со своим сподручнее. В Чечню он приехал не воевать, а охотиться на дудаевских боевиков, убивавших русских солдат. Так что одному ему работать привычнее. Попросил только патронов, т.к. своих - кот наплакал. Взял еды на несколько дней, воды и ушел в туман. 
 
Едва ли в штабе генерал-лейтенанта Рохлина думали, что из этой затеи что-либо путное выйдет. Но драгоценными кадрами не разбрасываются, а добровольцев в те годы по пальцам пересчитать можно было: ни Армия у народа авторитетом не пользовалась (бежали от службы, как от огня!), ни патриотизма в стране победившей демократии не набиралось. Однако условились, что с определенной периодичностью разведка должна пополнять запасы в тайнике - еда и боеприпасы. И запасы эти оттуда удивительным образом улетучивались. 
 
А вскоре у боевиков началась настоящая паника. Неизвестный снайпер безжалостно выкашивал их ряды, невзирая ни на какие меры предосторожности. И бил точно, как белок или соболей, у которых мех испортить жалко. 
 
В награду за живого или мертвого Черного снайпера, как его прозвали дудаевцы, Аслан Масхадов предлагал 30 тысяч долларов США, а Шамиль Басаев обещал звание героя Ичкерии. Только вот Володя-Якут удивительным образом растворялся в Грозном, каждую ночь расстреливая около десятка боевиков. Особой целью для него были дудаевские снайперы. С ними разворачивались целые снайперские дуэли, как во времена Великой Отечественной. Только победителем всегда оставался Якут. У арабских наемников не было шанса против опытного охотника, воевавшего не за деньги, а на совесть. 
 
По его следу шли неустанно, находили лежанки, ставили растяжки, перекрывали пути подхода и отхода, но Колотов умело обходил расставленные ловушки, каждую ночь продолжая собирать свой кровавый урожай. Продолжалось это до тех пор, пока Басаев не привлек для поимки Черного снайпера не менее легендарного арабского стрелка Абубакара. 
 
Араб хорошо понимал психологию Якута, сам был охотником, который прекрасно ориентировался на поле брани. Он быстро вычислил места, откуда удобно вести огонь и затаился в ожидании. Знал, что как только спускается мгла, Якут выходит на охоту на площадь Минутка, что стрелять может только с верхних этажей искромсанных войной пятиэтажек. Не сомневался, что русский снайпер рано или поздно появится в его прицеле. 
 
Так и произошло. Вооруженный лучшей снайперской винтовкой и лучшей оптикой из возможных Абубакар засек дождливой ночью Владимира Колотова, который устраивался для стрельбы, и сделал один выстрел. Знал, что попал. Не сомневался, что победил. 
 
И в своей самоуверенности просчитался. 
 
Пуля пробила Якуту руку, он скатился со своей позиции вниз и прикинулся мертвым. С выстрелом Абубакара прекратился страшный для боевиков счет. Черный снайпер перестал стрелять по ним. Для него началась другая охота. Сложная и интересная, с равным по силам противником. 
 
Колотов выследил араба через несколько дней. Уверенный в победе, тот потерял бдительность, перестал прятаться и позволил себе курить, находясь в засаде. По легкому дымку Якут и вычислил противника. Действовал не спеша. Наверняка. Чтобы не повторить его же ошибки. Прицелился, выдохнул и нажал на спуск. 
 
Оставить на месте бездыханное тело Абубакара духи не могли. По исламской традиции его следовало придать земле в день смерти, до захода солнца. Боевики несколько раз пытались вынести убитого снайпера с линии огня, но каждый раз все их потуги заканчивались прицельным огнем Володи-Якута. 
 
16 дудаевцев в тот день уничтожил Колотов, прежде чем был вынужден оставить свою позицию, вновь растворившись в разрушенном городе. 
 
Он вернулся в штаб генерала Рохлина через сутки. Говорят, генерал принял молодого охотника, как дорогого гостя. Хвалил за достойную службу, за жуткий страх, царящий в рядах дудаевцев, расспрашивал, о результатах. 
 
«362 убитых врага!» — ответил Якут. 
 
Всё это кажется немного сказочным. И теплый прием бойца в штабе армейского корпуса, где чуть ли не сам генерал-лейтенант наливает уставшему снайперу чай в кружку и радушно беседует за жизнь. И одинокий снайпер-охотник, длительное время существовавший автономно в развалинах Грозного, каждую ночь наводивший лютый ужас на стройные вражеские порядки. И снайперская дуэль Володи-Якута с арабским наемником Абубакаром, которая так похожа на знаменитое противостояние в Сталинграде Василия Зайцева с немецким «суперснайпером», начальником школы снайперов в Цоссене, штандартенфюрером СС Хайнцем Торвальдом (позывной Кёниг — Король), ставшее едва ли не самой знаковой дуэлью Великой Отечественной. 
 
Дальнейшая история Черного снайпера Володи-Якута рассказывается по-разному. Одни говорят, что спустя 2 месяца снайперской охоты в разрушенном войной Грозном, Владимир Колотов убыл домой. Начиналась весна, на далеком оленьем стойбище в Якутии добавлялось работы, потому каждые рабочие руки нужны были именно там. И генерал-лейтенант Рохлин отпустил парня с легким сердцем: свое дело он сделал на 5 с плюсом. 
 
Согласно другой версии, Володю-Якута зачислили в личный состав подразделения, и он еще не раз кошмарил духов, выходя на охоту в Чечне. Был ранен, лечился в госпитале, а затем снова вернулся в строй, пока не отправился на заслуженный дембель. 
 
Пуля неизвестного убийцы застигла его уже после войны. В родной деревне, во дворе собственного дома, когда Владимир Колотов колол дрова. Кто-то, имевший доступ к личной информации военнослужащих, продал дудаевцам адрес легендарного снайпера. И с ним расправились в отместку за сотни убитых боевиков. 
 
Убийство так и осталось нераскрытым. 
 
Однако, нашлись свидетели, которые утверждали, что знаменитый снайпер Чеченской войны Володя-Якут был жив и здоров и лично присутствовал в 2009 году в Кремле, получая награду из рук Президента России Дмитрия Медведева. 
 
С момента описываемых событий прошло уже 30 лет. И сегодня едва ли найдется человек, способный с точностью сказать, что в истории легендарного снайпера Владимира Колотова правда, а что — вымысел. Не осталось ни одной фотографии Володи-Якута (если они вообще существовали когда-то). А Лев Яковлевич Рохлин ни в одном интервью не рассказывал о том, что у него служил Черный снайпер, и больше уже ничего не расскажет. Генерал-лейтенант был убит в собственном доме ночью со 2 на 3 июля 1998 года, и результат следствия, по итогам которого в убийстве обвинили его жену, до сих пор у многих вызывает большие сомнения. 
 
Но прошедшая сквозь десятилетия легенда о загадочном охотнике, по зову сердца отправившимся защищать Родину — это уже не биография конкретного человека Владимира Колотова из Якутии, а история нашей большой страны. Это уже не про него одного, а про нас с вами. Про Россию... 
 
Источник: дзен-канал «Сквозь время и расстояния» 
Миф или реальность Чеченской войны? - 5366751071034",Пост,,,22:58 24.07.2025,0,0,0,48,
