keyword,post_text,author,date,time,timestamp,likes,comments,shares,post_id,owner_id,attachments,Ссылка
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","19 июля 1990 года на 58-м году жизни скончался русский актёр Георгий Бурков. Диагноз — тромбоэмболия легочной артерии. Похоронен в Москве на Ваганьковском кладбище (участок № 13).

До развала СССР Бурков не дожил всего один год. Советской власти он не сочувствовал, хотя казалось бы, что советская власть актёру насолить не могла. Бурков получил типичное советское образование, но его «испортила» любовь к русской классической литературе, учившей искренности и умению думать. Свои мысли он излагал в дневнике. 
После его смерти вдова актёра Татьяна Ухарова дала разрешение на публикацию дневниковых записей мужа, которые он вёл с 1953 по 1990 годы. Книга, названная «Хроника сердца», вышла в 1998 году в издательстве «Вагриус» (серия «Мой XX век»). 
 
Цитаты из дневниковых записей Георгия Буркова: 
 
Вот ругают «деревенщиков»: дескать, нападают на город, все беды и пороки, считают «деревенщики», исходят из города. Особенно досталось за нападки на город Шукшину. 
Но сейчас, когда начинает проясняться грандиозное преступление большевиков против русского (да и не только русского) крестьянства, когда мы стали только догадываться о масштабе беспощадного истребления русского крестьянства, лучшей части народа, можно уже смело говорить о том, что Шукшин и другие были правы. Но вот ведь чудеса какие: никто не собирается приносить хотя бы посмертных извинений Шукшину. Более того, возникни этот вопрос, на него набросятся с прежней ненавистью. Под «городом» подразумевают не власть большевиков, а почему-то интеллигенцию, которую истребляли с таким же усердием, с каким истребляли хозяев земли и носителей русского уклада жизни и культуры. 
*** 
Мы много говорим о кабальных долгах развивающихся стран, но ничего не говорим об империалистическом характере нашего государства по отношению к той или иной отрасли. К кино, например. Тут даже не долги, а просто рэкет: дается от заработанного, чтоб не сдохли. Куда перераспределяются деньги? Если проследить за финансовыми лабиринтами, то выяснится: для содержания партийно-хозяйственной элиты. 
И на ветер. Так даже дворяне не транжирили, не прогуливали народные деньги. 
 
1988 
 
Подумалось о том, как трудно дается нам правда. В 1956 мы вошли в страшную зону сталинизма и ахнули от ужаса. 
Скоро экскурсия кончилась, начались сомнения и подпольное осмысление познанного. 
Сегодня мы снова входим в эту пещеру ужасов. Не думаю, что на этот раз все будет развеяно и решено окончательно. Попытку закрыть тему и поставить точку сделали уже на празднике 70-летия. Убежден, что на партконференции в середине 1988-го тему закроют или переведут стрелку на другое направление (на Брежнева?). 
Мы теперь будем продвигаться по этой зоне перебежками. Нескоро еще поставим памятник на Колыме, нескоро возникнет демократия. 

Сталинские дела – это дела партии. Сталин свою вахту отстоял, спас партию. От чего? От развала и от вырождения. Потом, обратный путь по восстановлению справедливости на Сталине не закончится. Поэтому нас еще долго будут водить по минному лабиринту сталинизма. На что надеются нынешние лидеры? На то, что им удастся за это время вывести партию из глубочайшего кризиса, вырваться на оперативный простор и сделать что-то путное, наглядное. Пока акцент перенесен на дела международные, так удобнее сейчас. 
Но из этого, догадываюсь, ничего не выйдет. Постоянный выигрыш времени – и есть программа. 
А Сталина придется отдать на растерзание. А там, глядишь, и до главного недалеко. 
 
Мы сначала вынужденно, правда, с очень сильными оговорками, признали послевоенное Японское чудо, а потом, уже безо всяких оговорок, стали восхищаться японским гением и японскими предприимчивостью и трудолюбием. Совсем забыв при этом, что речь идет о капиталистической стране, которая только что была монархической и отставала от нас в общественном устройстве на столетия. 
...

Два фашизма (наш и японско-германский) привели к совершенно противоположным результатам. 
 
Почему такое случилось? 
 
Почему мещанство взяло верх у нас? Почему все гениальное было безжалостно истреблено? Я даже не говорю просто о физическом уничтожении людей. Я имею в виду уничтожение идей, которые нас давно бы уже вывели в сферы недосягаемости, если бы они были осуществлены хотя бы на треть. «Мы» продержались до того момента, пока связь времен не была прервана окончательно. Старая интеллигенция уничтожена либо вымерла, изолированная от народа. И в этом видится зловещая поступательность революции, а не отступление от нее. 
 
Теперь мы спокойно приступаем к воскрешению, по Федорову, поруганных предков. Но воскрешать поручено не преемникам, ибо они тоже на уходе. И воскрешение будет в доле с Западом. 
 
«Охота на ведьм». Сталинизм и маккартизм. Не было ли второе спровоцировано первым? Как была предана Европа Гитлеру. 
 
Маккартизм был спровоцирован с нашего берега. Революционное и профсоюзное движение в США было разгромлено с нашей легкой руки и с нашей пересказки. 
 
С одной стороны, начинаешь понимать, что система «народного царя» (генерального секретаря) – это какая-то зловещая лотерея. Добрый или злой? Умный или дурак? Какой на этот раз попадается? Каких наместников поставит на местах? И т.д. 
 
С другой – начинаешь понимать закономерности так называемой системы социализма, которая вырисовывается тоже очень примитивной и очень зловещей. И в делах международных особенно. 
 
Тот мир, который мы имеем сейчас, – это по нашей милости. Ненависть, нетерпимость, психическая неуравновешенность, идеологическое помешательство и доктрины очень далекие от реальности – все это возникло от нашего давления на мир. И вот, наконец, мы привели мир на грань катастрофы, гибели. Один неверный шаг – и жизнь на земле исчезнет. 
 
Мы помогли фашистам опустошить Европу, китайцам – Азию. Мы не думали о людях, мы не верили в людей. Наш идеал – стадо. И в довершение всего построили худший из вариантов человеческого общежития. 
 
И до сих пор охотимся за ведьмами. И все это в интересах самого малого меньшинства, которое по умственному развитию представляет подавляющее большинство. 
 
Великий художник и в то же время хлюпик-непротивленец Лев Толстой… Великий мастер и смрадный реакционер-черносотенец Достоевский… 
 
Со школьной скамьи входили в нас эти несовместимые понятия естественного как данность и даже будили в нашем детском сознании чувство врожденного превосходства. Мы с младых ногтей выращивались могильщиками русской духовности, осквернителями святынь. 
 
Нам не нужно было знать, что революция, совершенная в соседней великой Индии под предводительством Ганди, во многом вдохновлялась идеями Толстого. Да мало ли можно накидать сейчас подробностей нашей жизни, нашего падения, чтобы довести себя до экстаза покаяния (перед кем?! перед чем?!) и до самого уничтожения. 
 
Сталин так и не смог заглотить Вернадского, уничтожить его, предварительно унизив, как он проделывал обычно. Он не тронул и Станиславского, дав ему умереть своей смертью. Сталин, казалось бы, так и не уничтожил Русской Идеи. Но это только кажется. Ему удалось порвать связь времен. Он выморил русскую интеллигенцию, он подменил энциклопедичность русского просвещения обычным ликбезом и заучиванием марксистских догм. Спасение Русской Идеи (и русской культуры в целом) я вижу в том, что она всегда располагалась на путях открытий законов природы и законов действительного общежития. Но чтобы собрать разорванные и разбросанные законы, потребуется еще лет 50. Сталин (конечно же, не он один!) сделал все, чтобы выиграть время для партии. 
 
Вавилов сам выдвинул и поддержал, продвигал Трофима Лысенко. 
 
Мы уже привыкли к их присутствию при самых сокровенных разговорах, как заключенные привыкают к охранникам во время свиданий с родственниками. 
 
Что это? Что бы это значило? Это и есть наша система? И это и есть тот необратимый переворот, который с нами произошел? 
 
Мы в плену у посредственности, мы ее заложники. Мы должны перед ней отчитываться, мы должны, как ссыльные, ежедневно отчитываться. И платить огромное содержание лагерной обслуге за то, что они тебя охраняют, бдят. 
 
Кстати, это из-за них, из-за этой лагерной обслуги, гниет миллионная передовая технология на улице, во дворах. Обслуга раскусила заговор против себя. «Хотят, мол, поймать нас на бездарности, на отсталости. А потом избавиться от нас. Не выйдет!» 
 
Иногда из врожденного оптимизма хочется думать, что так случилось только в театре, только в искусстве. 
 
Меня настораживают разговоры о перестройке, бодряческое настроение перед партийной конференцией, разглагольствования с бюрократией и смелые разоблачения организованной преступности и т.д. 
 
Желание улучшить, модернизировать аппарат подавления, уничтожения и унижения – опять что-то бесовское накатывается на мой народ и на другие народы. 
 
Мы никак не хотим понять степень собственного падения и масштабы катастрофы, обрушившейся на народы. 
 
Я, наверное, никогда не засяду за подробную историю своего рода. Не потому, что нет интереса к этому или стыдно рассказывать по какой-то причине. У каждого человека какие-то таинственные связи и счеты со своим родом. У меня – театральные, скоморошьи. Или шире – художественные, свободные. Почему? Пока не знаю. Догадываюсь. Взаимоотношения с родом, с историей у человека таинственные, интимные. Они есть! Но о них не принято говорить, как не принято рассказывать о подробностях половой жизни. Да и 70 лет жизни под коммунистами дают о себе знать. Нарушены семейные, родовые связи людей. Стало быть, истреблены исторические связи. У рабов нет истории. И не может быть. Но и у палачей она истончается, уходит в песок. Цивилизации гибнут поэтому. Желание восстановить родовые связи – это первый шаг к свободе. Большую часть жизни я прожил в рабстве, в полном бесправии. Я не был репрессирован, но ведь Брежнев принял (и довел до логического краха) страну-концлагерь. Охрана и капо открыто гуляли на глазах у всех. И я спонтанно начал восстанавливать родовые связи единственным возможным способом – театральным. В анкете писалось другое. Как у всех – неправда. 
 
Идеология разрушает ноосферу. И всегда разрушала. Но пока она, идеология, орудовала в высших слоях общества, опасность, исходящая от нее, не замечалась. Как только в идеологическую войну вовлекаются массы, ноосфера начинает разрушаться. Людей, их энергию срывают с места, бросают в прорыв там, где подключать людскую энергию бессмысленно. 
 
Афганцы, бряцая колонизаторским оружием у себя на родине, обескровливают, обессиливают ее бессмысленными завоевательскими призывами к патриотизму, к защите идей социализма и коммунизма от происков империализма. Как это старо! Одно к одному – религиозные войны, кровавые походы крестоносцев и прочие кишки на кулак. Как в боксе говорят: «Главное – эффектно провести концовку». 
 
Концовку века на разных рингах (глаза разбегаются!) многие бойцы проводят больно эффектно: коммунисты вырезают афганцев, Хомейни взвинчивает истерию священной войны против неверных (для начала бей своих, чтоб чужие боялись), американцы зализывают раны вьетнамской войны и т. д. 
 
«Клевета» Сахарова об афганских событиях (расстрел своих же окруженных) и десятки (сотни) не захороненных еще (!) со времен второй мировой. А ведь под это сотни тысяч, миллионы (!) людей прожили, задавленные подозрением, что их отцы, деды, сыны сдались в плен. Эти люди были выведены из активного участия в общественной борьбе и финансово обобраны. Оказалось, Государство и не собиралось восстанавливать истину. Под государством я имею в виду военное ведомство. 
 
Не сразу мы узнали и о «смершах». Конечно, никто не найдет ни одного приказа о том, чтоб стреляли в спину. Однако стреляли. Детдомовец Матросов бросился на амбразуру. Зоя Космодемьянская, дочь врага народа, приняла мученическую смерть. Никто не узнает истинных причин, истинных подробностей. 
 
Однако есть масса документов типа «прошу считать меня коммунистом». Бюрократизм в нашей армии, дедовщина (уголовщина), выросшая на партийной уголовщине и на неспособности контролировать армию, шкурничество и равнодушие, спекуляция и контрабанда… 
 
Все это пришло на смену террору сверху и рабству, сталинщине. 
 
Зона. 
 
СССР – это огромная зона. 
 
С посылками, свиданиями, родственными вызовами и выездами. И совсем не оттого, что мы чего-то добились, нас не сажают в лагеря. Просто из страны выкачали все, что было возможно. Теперь стали качать оттуда. Дали послабление, т. е. создали возможности спасать и выкупать нас (менять Буковского на Корвалана, например). 
 
Большевикам нужна атомная бомба для того, чтобы удержаться у власти, т. е. против своего же народа. Пройдет немного времени, и они начнут шантажировать весь мир, чтобы весь мир умолял нас, народ, не делать революции и терпеть этих упырей и содержать их. 
 
Непрекращающаяся гражданская война против своего народа, колониальный режим, незаметное военное положение, а проще – всесоюзная зона. Все это измотало народ. Он уже понял, что сегодняшняя передышка (ухудшение) несет нечто новое для него, народа-то. Новое и страшно. Если раньше разбазаривали природные ресурсы и культуру, то теперь, похоже, собираются торговать нами. Ищут марксистско-ленинское обоснование. И найдут! 
 
Коммунисты ситуацию в стране не контролируют. Но и никогда не контролировали. Они воюют с нашими народами, стравливают их. Оккупанты ситуацию не контролируют. Они ее создают, усугубляют. Но сейчас ситуация странная. Создавая особое положение для себя, партия вступила в сговор (в долю взяла) обслугу, охрану и т. д. Халявщиков очень много. Рабский труд еле-еле их кормит. Надо отпускать рабов на заработки (на живца ловить – называется) за границу. Но так, чтобы валюта шла хозяевам. Сложностей мно-о-го! 
 
Так что делать? 
 
Восстанавливать храм Христа Спасителя, воссоединяться с диаспорой и выводить детей из рабства. Надо делать духовную работу. Но делать ее надо так, как она выходит из тебя, чтоб работа увлекла и захватила многих правдой, исповедью. 
 
Надо раз и навсегда уяснить себе: партия не пощадит ни одного народа. Русский страдает и будет страдать больше всех. 
 
Легкость, с которой мы входим в чужие страны (или вводим туда оружие) – Чехословакия, Венгрия, Польша, ГДР, Афганистан, Куба, Никарагуа, Китай, Вьетнам и мн. др., – говорит о том, что Запад вооружился не зря. Мы – профессиональные агрессоры. И не отказались до сих пор от идеи Мирового господства, скромно называя эту идею «Мировой революцией». 
 
Недоразвитые и бездарные людишки продолжают терроризировать и обирать огромную страну. 
 
И плодят, твари, подобных себе. Это катастрофа. Потом будут клянчить подаяние. Опять корми! 
 
Победа в Великой Отечественной окончательно развалила русских. И, естественно, позволила большевикам держаться до сих пор. Ведь Победа дала право думать, что путь правильный: лагеря, соц. реализм и пр. И безкультурье. Падение в будку. Мы выбрали «родное» рабство, рассчитывая на то, что у коммунистов оттает сердце. Дураки! Мы ввергли себя в большую глупость и униженность. Дело еще вот в чем: война не дает повод для геройства ни с той, ни с другой стороны. Война – это грязь и убийство на самом дне сознания. Геройство создают идеологические подонки. Выбор между двумя фашизмами. Что может быть мучительней?! Но я никогда не скажу, что выбор был сделан правильный. Раб на выбор не способен. Такова судьба. Раба. 
 
Сталин хорошо учел опыт истории. Был Робеспьер, был Наполеон и был Луи Филипп. 
 
А Сталин все это собрал в одном! И не из-за большого ума. А из животного страха и из владения искусством партийной интриги. 
 
В который уже раз говорю: партия никогда никому не будет отдавать долги. Она никаких долгов не делала – она отнимала. Отнимала у отдельных людей, семей, которые партией как партнер для разговоров и для сотрудничества не фиксируется. Партия для сотрудничества создает сама партнеров: совнархозы, агропромы. Но эти партнеры сеять не умеют, к созидательному труду, как и сама партия, не приспособлены. 
 
Хомо Советикус и терроризм – это взаимосвязанные явления. Но если на Западе терроризм находится вне закона и не имеет никаких шансов на поблажки, то у нас терроризм является формой существования",Группа 131617902,20.07.2025,05:14,1752952456,62,3,19,484708,-131617902,"photo, photo, photo, photo, photo, photo",https://vk.com/wall-131617902_484708
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 216160169,20.07.2025,03:25,1752945959,29,0,0,207545,-216160169,photo,https://vk.com/wall-216160169_207545
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу",Группа 212252135,20.07.2025,03:08,1752944880,575,21,0,593843,-212252135,photo,https://vk.com/wall-212252135_593843
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 86820203,20.07.2025,02:03,1752940980,9,0,0,299088,-86820203,photo,https://vk.com/wall-86820203_299088
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 69915,20.07.2025,00:45,1752936310,28,1,1,750154,-69915,photo,https://vk.com/wall-69915_750154
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 230707370,20.07.2025,00:13,1752934427,2,0,0,420,-230707370,"photo, link",https://vk.com/wall-230707370_420
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 225078165,19.07.2025,22:47,1752929220,154,4,0,172290,-225078165,photo,https://vk.com/wall-225078165_172290
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 230628332,19.07.2025,22:46,1752929174,1,0,1,1403,-230628332,"photo, link",https://vk.com/wall-230628332_1403
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍

Хотите подписать контракт? Лучшие условия в личных сообщениях:
vk.me/club226228460",Группа 226228460,19.07.2025,21:36,1752924985,5,0,0,2209,-226228460,"photo, link",https://vk.com/wall-226228460_2209
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 226319173,19.07.2025,21:00,1752922800,17,1,0,22029,-226319173,photo,https://vk.com/wall-226319173_22029
