Ссылка;Текст;Тип;Автор;Ссылка на автора;Дата;Лайков;Комментариев;Репостов;Переходов;Просмотров вики страницы;Просмотров;Лайков / Просмотров;Комментариев / Просмотров;Репостов / Просмотров;Переходов / Просмотров;Просмотров вики страницы / Просмотров поста
https://vk.com/wall-189878921_50677;Лис передает всем доброе утро!☀️;Пост;;https://vk.com/club189878921;15:32 25.07.2025;135;5;3;0;0;2235;6.040%;0.224%;0.134%;0%;0%
https://vk.com/wall-86820203_299271;Лис передает всем доброе утро;Пост;;https://vk.com/club86820203;15:03 25.07.2025;6;0;0;0;0;62;9.677%;0.000%;0.000%;0%;0%
https://vk.com/wall-68164411_114477;"Лис передает всем доброе утро 😉🤙🏽

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;;https://vk.com/club68164411;15:00 25.07.2025;9;0;0;0;0;92;9.783%;0.000%;0.000%;0%;0%
https://vk.com/wall-229357719_14516;Лис передает всем доброе утро😇🤝;Пост;;https://vk.com/club229357719;14:44 25.07.2025;34;2;0;0;0;189;17.989%;1.058%;0.000%;0%;0%
https://vk.com/wall-212998710_383633;"Лис передает всем доброе утро.

#Предложка";Пост;;https://vk.com/club212998710;14:30 25.07.2025;101;8;2;0;0;971;10.402%;0.824%;0.206%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;201;7;0;0;0;2609;7.704%;0.268%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;354;7.345%;0.282%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;235;4.681%;0.000%;0.426%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;298;6.711%;0.671%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;344;4.651%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;93;5.376%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;64;3;0;0;0;762;8.399%;0.394%;0.000%;0%;0%
https://vk.com/wall-189878921_50677;Лис передает всем доброе утро!☀️;Пост;;https://vk.com/club189878921;15:32 25.07.2025;135;5;3;0;0;2235;6.040%;0.224%;0.134%;0%;0%
https://vk.com/wall-86820203_299271;Лис передает всем доброе утро;Пост;;https://vk.com/club86820203;15:03 25.07.2025;6;0;0;0;0;62;9.677%;0.000%;0.000%;0%;0%
https://vk.com/wall-68164411_114477;"Лис передает всем доброе утро 😉🤙🏽

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;;https://vk.com/club68164411;15:00 25.07.2025;9;0;0;0;0;92;9.783%;0.000%;0.000%;0%;0%
https://vk.com/wall-229357719_14516;Лис передает всем доброе утро😇🤝;Пост;;https://vk.com/club229357719;14:44 25.07.2025;34;2;0;0;0;189;17.989%;1.058%;0.000%;0%;0%
https://vk.com/wall-212998710_383633;"Лис передает всем доброе утро.

#Предложка";Пост;;https://vk.com/club212998710;14:30 25.07.2025;100;8;2;0;0;971;10.299%;0.824%;0.206%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;201;7;0;0;0;2609;7.704%;0.268%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;354;7.345%;0.282%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;235;4.681%;0.000%;0.426%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;298;6.711%;0.671%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;344;4.651%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;93;5.376%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;64;3;0;0;0;762;8.399%;0.394%;0.000%;0%;0%
https://vk.com/wall-189878921_50677;Лис передает всем доброе утро!☀️;Пост;;https://vk.com/club189878921;15:32 25.07.2025;135;5;3;0;0;2235;6.040%;0.224%;0.134%;0%;0%
https://vk.com/wall-86820203_299271;Лис передает всем доброе утро;Пост;;https://vk.com/club86820203;15:03 25.07.2025;6;0;0;0;0;62;9.677%;0.000%;0.000%;0%;0%
https://vk.com/wall-68164411_114477;"Лис передает всем доброе утро 😉🤙🏽

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;;https://vk.com/club68164411;15:00 25.07.2025;9;0;0;0;0;92;9.783%;0.000%;0.000%;0%;0%
https://vk.com/wall-229357719_14516;Лис передает всем доброе утро😇🤝;Пост;;https://vk.com/club229357719;14:44 25.07.2025;34;2;0;0;0;189;17.989%;1.058%;0.000%;0%;0%
https://vk.com/wall-212998710_383633;"Лис передает всем доброе утро.

#Предложка";Пост;;https://vk.com/club212998710;14:30 25.07.2025;100;8;2;0;0;971;10.299%;0.824%;0.206%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;201;7;0;0;0;2609;7.704%;0.268%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;354;7.345%;0.282%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;235;4.681%;0.000%;0.426%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;298;6.711%;0.671%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;344;4.651%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;93;5.376%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;64;3;0;0;0;762;8.399%;0.394%;0.000%;0%;0%
https://vk.com/wall-189878921_50677;Лис передает всем доброе утро!☀️;Пост;;https://vk.com/club189878921;15:32 25.07.2025;135;5;3;0;0;2235;6.040%;0.224%;0.134%;0%;0%
https://vk.com/wall-86820203_299271;Лис передает всем доброе утро;Пост;;https://vk.com/club86820203;15:03 25.07.2025;6;0;0;0;0;62;9.677%;0.000%;0.000%;0%;0%
https://vk.com/wall-68164411_114477;"Лис передает всем доброе утро 😉🤙🏽

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;;https://vk.com/club68164411;15:00 25.07.2025;9;0;0;0;0;92;9.783%;0.000%;0.000%;0%;0%
https://vk.com/wall-229357719_14516;Лис передает всем доброе утро😇🤝;Пост;;https://vk.com/club229357719;14:44 25.07.2025;34;2;0;0;0;189;17.989%;1.058%;0.000%;0%;0%
https://vk.com/wall-212998710_383633;"Лис передает всем доброе утро.

#Предложка";Пост;;https://vk.com/club212998710;14:30 25.07.2025;100;8;2;0;0;971;10.299%;0.824%;0.206%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;201;7;0;0;0;2609;7.704%;0.268%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;354;7.345%;0.282%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;235;4.681%;0.000%;0.426%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;298;6.711%;0.671%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;344;4.651%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;93;5.376%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;64;3;0;0;0;762;8.399%;0.394%;0.000%;0%;0%
https://vk.com/wall-189878921_50677;Лис передает всем доброе утро!☀️;Пост;;https://vk.com/club189878921;15:32 25.07.2025;135;5;3;0;0;2235;6.040%;0.224%;0.134%;0%;0%
https://vk.com/wall-86820203_299271;Лис передает всем доброе утро;Пост;;https://vk.com/club86820203;15:03 25.07.2025;6;0;0;0;0;62;9.677%;0.000%;0.000%;0%;0%
https://vk.com/wall-68164411_114477;"Лис передает всем доброе утро 😉🤙🏽

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺";Пост;;https://vk.com/club68164411;15:00 25.07.2025;9;0;0;0;0;92;9.783%;0.000%;0.000%;0%;0%
https://vk.com/wall-229357719_14516;Лис передает всем доброе утро😇🤝;Пост;;https://vk.com/club229357719;14:44 25.07.2025;34;2;0;0;0;189;17.989%;1.058%;0.000%;0%;0%
https://vk.com/wall-212998710_383633;"Лис передает всем доброе утро.

#Предложка";Пост;;https://vk.com/club212998710;14:30 25.07.2025;100;8;2;0;0;971;10.299%;0.824%;0.206%;0%;0%
https://vk.com/wall-25943575_1158294;Лис передает всем доброе утро;Пост;;https://vk.com/club25943575;18:07 24.07.2025;201;7;0;0;0;2609;7.704%;0.268%;0.000%;0%;0%
https://vk.com/wall-125866183_516874;Лис передает всем доброе утро;Пост;;https://vk.com/club125866183;17:20 24.07.2025;26;1;0;0;0;354;7.345%;0.282%;0.000%;0%;0%
https://vk.com/wall-224831014_34969;Лис передает всем доброе утро;Пост;;https://vk.com/club224831014;15:33 24.07.2025;11;0;1;0;0;235;4.681%;0.000%;0.426%;0%;0%
https://vk.com/wall-227552131_32900;Лис передает всем доброе утро;Пост;;https://vk.com/club227552131;15:26 24.07.2025;20;2;0;0;0;298;6.711%;0.671%;0.000%;0%;0%
https://vk.com/wall-148824521_116485;Лис передает всем доброе утро;Пост;;https://vk.com/club148824521;15:05 24.07.2025;16;0;0;0;0;344;4.651%;0.000%;0.000%;0%;0%
https://vk.com/wall-210977948_171710;Лис передает всем доброе утро;Пост;;https://vk.com/club210977948;15:00 24.07.2025;5;0;0;0;0;93;5.376%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163904;Лис передает всем доброе утро;Пост;;https://vk.com/club221267807;13:56 24.07.2025;64;3;0;0;0;762;8.399%;0.394%;0.000%;0%;0%
https://vk.com/wall-226226539_300465;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;;https://vk.com/club226226539;02:00 26.07.2025;2;0;0;0;0;10;20.000%;0.000%;0.000%;0%;0%
https://vk.com/wall-69915_750451;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;;https://vk.com/club69915;09:06 25.07.2025;17;1;0;0;0;974;1.745%;0.103%;0.000%;0%;0%
https://vk.com/wall299788145_3101;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.

🇷🇺 СВО";Пост;;https://vk.com/id299788145;02:19 25.07.2025;4;0;1;0;0;83;4.819%;0.000%;1.205%;0%;0%
https://vk.com/wall-224692604_112708;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;;https://vk.com/club224692604;01:39 25.07.2025;139;10;0;0;0;1871;7.429%;0.534%;0.000%;0%;0%
https://vk.com/wall-194331569_240933;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;;https://vk.com/club194331569;01:13 25.07.2025;38;0;0;0;0;738;5.149%;0.000%;0.000%;0%;0%
https://vk.com/wall-226389423_10085;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;;https://vk.com/club226389423;22:39 24.07.2025;197;0;0;0;0;10932;1.802%;0.000%;0.000%;0%;0%
https://vk.com/wall-221267807_163923;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;;https://vk.com/club221267807;20:41 24.07.2025;38;0;0;0;0;720;5.278%;0.000%;0.000%;0%;0%
https://vk.com/wall-63960562_343049;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;;https://vk.com/club63960562;20:12 24.07.2025;1;0;0;0;0;109;0.917%;0.000%;0.000%;0%;0%
https://vk.com/wall-200203334_62754;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;;https://vk.com/club200203334;20:02 24.07.2025;135;9;2;0;0;1156;11.678%;0.779%;0.173%;0%;0%
https://vk.com/wall-98660148_823772;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.✊";Пост;;https://vk.com/club98660148;19:17 24.07.2025;16;1;0;0;0;379;4.222%;0.264%;0.000%;0%;0%
https://vk.com/wall-229357719_14448;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.🇷🇺";Пост;;https://vk.com/club229357719;18:37 24.07.2025;21;0;0;0;0;222;9.459%;0.000%;0.000%;0%;0%
https://vk.com/wall-125866183_516879;"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.";Пост;;https://vk.com/club125866183;17:30 24.07.2025;9;0;0;0;0;249;3.614%;0.000%;0.000%;0%;0%
